,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
306,1144306,PIZZERIA UNO CHICAGO BAR & GRILL,06/10/2020,05/31/2021,29 E OHIO ST,41.892383417,-87.62680478700001
307,1144312,BAR CARGO,03/10/2020,05/31/2021,605 - 607 N WELLS ST,41.892574337,-87.633948801
308,1144313,BROKEN ENGLISH TACO PUB,03/10/2020,05/31/2021,75 E LAKE ST,41.885624255,-87.625296495
309,1144314,TAVERN ON RUSH,03/10/2020,05/31/2021,1031 N RUSH ST,41.901642657,-87.627773404
310,1144315,Broken English Taco Pub Old Town,03/10/2020,05/31/2021,1400 N WELLS ST,41.907738476999995,-87.63475461799999
311,1144316,BROKEN ENGLISH TACO PUB - LINCOLN PARK,03/10/2020,05/31/2021,2574-2580 N LINCOLN AVE,41.928692603,-87.653517681
312,1144317,OSTERIA RUSTICANA,02/28/2020,05/31/2021,2114 W DIVISION ST,41.903245759,-87.680355265
313,1144318,CHICAGO FRENCH MARKET,03/13/2020,05/31/2021,131 N CLINTON ST,41.884187507,-87.64111966700001
314,1144319,WATERHOUSE TAVERN AND GRILL,09/09/2020,05/31/2021,3407 N PAULINA ST,41.943573369,-87.671058765
315,1144320,MONSIGNOR MURPHY'S,03/05/2020,05/31/2021,3019 N BROADWAY,41.93708671,-87.64415431799999
316,1144321,MORTON'S STEAKHOUSE-WACKER PLACE,06/22/2020,05/31/2021,65 E WACKER PL,41.88670423,-87.625496374
317,1144322,HUBBARD INN,07/09/2020,05/31/2021,110 W HUBBARD ST,41.890123938,-87.631596659
318,1144323,ESSENCE OF INDIA,07/02/2020,05/31/2021,4601 N LINCOLN AVE,41.964997093,-87.686013819
319,1144324,TOPO GIGIO RISTORANTE,03/10/2020,05/31/2021,1514-16 N WELLS ST,41.909637819000004,-87.634809411
320,1144325,SUGAR FACTORY,03/04/2020,05/31/2021,55 E GRAND AVE,41.891590741,-87.62586713700001
321,1144327,DUCK DUCK GOAT,03/09/2020,05/31/2021,851-857 W FULTON MARKET,41.886661523,-87.649517727
