,PERMIT NUMBER,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,LOCATION
401,1144464,KANELA BREAKFAST CLUB,12/21/2020,05/31/2021,1552 N WELLS ST,CHICAGO,IL,60610.0,41.910676091,-87.63484273700001,"(41.91067609090565, -87.6348427365926)"
402,1144466,GLASCOTT'S GROGGERY,06/18/2020,05/31/2021,2158 N HALSTED ST,CHICAGO,IL,60614.0,41.921723647,-87.64877701,"(41.92172364683801, -87.64877700980905)"
403,1144467,ATHENIAN ROOM RESTAURANT,08/07/2020,05/31/2021,807 W WEBSTER AVE,CHICAGO,IL,60614.0,41.921702061,-87.648943732,"(41.92170206096268, -87.64894373163004)"
404,1144469,LA BOULANGERIE,06/26/2020,05/31/2021,3129 W LOGAN BLVD,CHICAGO,,60647.0,41.927864203,-87.706161882,"(41.927864202687005, -87.7061618818839)"
405,1144472,CHICAGO GRIND,06/25/2020,05/31/2021,5256 N BROADWAY,CHICAGO,,60640.0,41.977994211,-87.660061201,"(41.97799421086391, -87.66006120070982)"
406,1144473,"KOPI, A TRAVELER'S CAFE",06/09/2020,05/31/2021,5317 N CLARK ST,CHICAGO,IL,60640.0,41.978607404,-87.668176411,"(41.97860740426517, -87.6681764114042)"
407,1144475,"KANELA ""BREAKFAST CLUB""",07/29/2020,05/31/2021,5413 N CLARK ST,CHICAGO,IL,60640.0,41.980204645,-87.66815868,"(41.98020464496523, -87.66815868013656)"
408,1144476,MANGO PICKLE,07/02/2020,05/31/2021,5842 N BROADWAY,CHICAGO,IL,60660.0,41.988272104,-87.660358696,"(41.98827210388373, -87.66035869613218)"
409,1144478,ANTO PIZZA CHICAGO,06/01/2020,05/31/2021,1547 W JARVIS AVE,CHICAGO,,60626.0,42.015888748,-87.66997511,"(42.01588874781467, -87.66997511024942)"
410,1144479,LAS MANANITAS,07/09/2020,05/31/2021,3523 N HALSTED ST,CHICAGO,IL,60657.0,41.946201295,-87.64930463399999,"(41.94620129474902, -87.6493046342878)"
411,1144480,BOSS BAR,06/01/2020,05/31/2021,418-420 N CLARK ST,CHICAGO,IL,60654.0,41.889904879,-87.63122455,"(41.889904879439435, -87.63122454993453)"
412,1144481,BLAZE PIZZA,06/01/2020,05/31/2021,511 S STATE ST,CHICAGO,,60605.0,41.875414932,-87.627472611,"(41.87541493209854, -87.62747261121046)"
413,1144482,BLAZE PIZZA,06/01/2020,05/31/2021,24 S CLINTON ST,CHICAGO,IL,,41.881100074,-87.641315244,"(41.88110007444254, -87.64131524410391)"
414,1144483,BLAZE PIZZA,06/01/2020,05/31/2021,227 E ONTARIO ST,CHICAGO,IL,60611.0,41.893262977,-87.621958776,"(41.893262977315636, -87.6219587764921)"
