permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
1049443,VINCENT,2006-04-20T00:00:00.000,2006-12-01T00:00:00.000,1475 W BALMORAL AVE,41.979744137,-87.66773759200001
1049441,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,3424 N SOUTHPORT AVE,41.944166482,-87.66408481200001
1049440,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,175 W JACKSON BLVD,41.878014487,-87.63318903
1049439,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,1625 N DAMEN AVE,41.911216984,-87.677333437
1049437,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,1459 W TAYLOR ST,41.869191596,-87.664013343
1049436,MAHONEY'S,2006-04-07T00:00:00.000,2006-12-01T00:00:00.000,554 N OGDEN AVE,41.892563887,-87.657920041
1049433,POTBELLY SANDWICH WORKS LLC,2006-04-05T00:00:00.000,2006-12-01T00:00:00.000,542 S DEARBORN ST,41.874861998,-87.629363045
1049425,LAS MANANITAS,2006-03-31T00:00:00.000,2006-12-01T00:00:00.000,3523 N HALSTED ST,41.946201295,-87.64930463399999
1049421,BURNT CITY,2006-04-14T00:00:00.000,2006-12-01T00:00:00.000,2747 N LINCOLN AVE,41.931817807,-87.657460626
1049417,THE REVELER,2006-05-17T00:00:00.000,2006-12-01T00:00:00.000,1958 W ROSCOE ST,41.94332628,-87.67833306
1049386,CORNER BAKERY CAFE,2006-04-18T00:00:00.000,2006-12-01T00:00:00.000,360 N MICHIGAN AVE,41.888140152,-87.62469579
1049384,STARBUCKS COFFEE #2510,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,414 N ORLEANS ST,41.889682961,-87.637120956
1049383,STARBUCKS COFFEE  #2403,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,2454 N ASHLAND AVE,41.926806505,-87.66835059799999
1049382,Starbuck's Coffee #2568,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,4365 W IRVING PARK RD,41.953420906999995,-87.737996905
1049381,STARBUCKS COFFEE #2494,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,1157 W WRIGHTWOOD AVE,41.928816916,-87.658378837
1049378,STARBUCKS COFFEE #2545,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,25 E WASHINGTON ST,41.883109079,-87.626976034
1049375,STARBUCKS COFFEE #2491,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,1900 W MONTROSE AVE,41.961603816,-87.67607883
1049374,STARBUCKS COFFEE #8972,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,42 E CHICAGO AVE,41.896808635999996,-87.62661991
1049372,STARBUCK'S COFFEE #2636,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,1701 W DIVISION ST,41.903195593,-87.669965312
1049371,STARBUCKS COFFEE #8954,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,4558 N KEDZIE AVE,41.964611762,-87.708499442
1049370,STARBUCKS COFFEE #2484,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,111 E CHESTNUT ST,41.898261619,-87.62516469200001
1049369,STARBUCKS COFFEE #2445,2006-05-18T00:00:00.000,2006-12-01T00:00:00.000,1052-70 W BRYN MAWR AVE,41.98378038,-87.657310954
1049367,COSI,2006-04-20T00:00:00.000,2006-12-01T00:00:00.000,230 W MONROE ST,41.880757159,-87.63470929799999
1049364,THE PLAYERS CLUB,2006-03-16T00:00:00.000,2006-12-01T00:00:00.000,2500 N ASHLAND AVE,41.927051362,-87.668359476
1049363,PIZANO,2006-03-16T00:00:00.000,2006-12-01T00:00:00.000,61 E MADISON ST,41.881982186,-87.62564147
1049362,WINDY CITY SWEETS,2006-03-31T00:00:00.000,2006-12-01T00:00:00.000,3308 N BROADWAY,41.942208197,-87.64461373299999
1049334,THE KERRYMAN,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,70 W ERIE ST,41.894146286,-87.630851387
1049333,KASEY'S TAVERN,2006-03-07T00:00:00.000,2006-12-01T00:00:00.000,701 S DEARBORN ST,41.873324342,-87.629021704
1049311,RL,2006-03-17T00:00:00.000,2006-12-01T00:00:00.000,115 E CHICAGO AVE,41.896615843,-87.62473177
